# 这是本地源列表，一行一个源，格式为：频道名称,接口地址
# 如果有多个本地源文件，可以在config目录下创建local目录进行存放，支持txt/m3u文件格式
# 支持设置白名单：接口后添加$!
# The local source list, one line per source, format: channel name, interface address
# Support setting whitelist: add $! after the interface
# If there are multiple local source files, you can create a local directory under the config directory for storage, supporting txt/m3u file formats
# 🧧春晚频道,#genre#
光良-童话,http://em.21dtv.com/songs/60042729.mkv
光良-童话,http://vodcdn.video.taobao.com/oss/ali-video/e2c54a5b89aaa794cfc186c41d2ef348/video.m3u8
杨宗纬-明日晴れるかな(演唱会),http://em.21dtv.com/songs/60030139.mkv
周杰伦-暗号,http://em.21dtv.com/songs/60009367.mkv
逃跑计划乐队-夜空中最亮的星,http://em.21dtv.com/songs/60081693.mkv
梁静茹-勇气,http://vodcdn.video.taobao.com/oss/ali-video/f501ffc81da040099b17fb1db30b92fe/1462937648/video.m3u8.m3u8
张敬轩-断点,http://em.21dtv.com/songs/60015919.mkv
张韶涵-阿刁,http://em.21dtv.com/songs/60151605.mkv
信乐团-离歌,http://em.21dtv.com/songs/60026690.mkv
王菲-执迷不悔,http://em.21dtv.com/songs/60058708.mkv
赵咏华-最浪漫的事,http://em.21dtv.com/songs/60060358.mkv
李宗盛-山丘,http://em.21dtv.com/songs/60085678.mkv
胡彦斌-山丘,http://em.21dtv.com/songs/60107954.mkv
周深-大鱼,http://em.21dtv.com/songs/60121511.mkv
毛不易-消愁,http://em.21dtv.com/songs/60158288.mkv
毛不易-像我这样的人,http://em.21dtv.com/songs/60158229.mkv
毛不易-牧马城市,http://em.21dtv.com/songs/60152864.mkv
华晨宇-烟火里的尘埃,http://em.21dtv.com/songs/60108355.mkv
梁咏琪-短发,http://em.21dtv.com/songs/60136631.mkv
周传雄-黄昏(演唱会),http://em.21dtv.com/songs/60021927.mkv
周传雄-记事本,http://em.21dtv.com/songs/60022715.mkv
周传雄-我的心太乱,http://em.21dtv.com/songs/60137416.mkv
周传雄-寂寞沙洲冷,http://em.21dtv.com/songs/60137415.mkv
刘文正-三月里的小雨,http://em.21dtv.com/songs/60037364.mkv
许茹芸-如果云知道,http://vodcdn.video.taobao.com/oss/ali-video/fd87aea7bc293a5930b8a64c752df476/video.m3u8
李圣杰-痴心绝对,http://vodcdn.video.taobao.com/oss/ali-video/f2b27944f9960f3dbb2c6dd6c4679747/video.m3u8
熊天平-爱情多瑙河,http://em.21dtv.com/songs/60008213.mkv
熊天平-愚人码头,http://em.21dtv.com/songs/60128192.mkv
熊天平-火柴天堂,http://em.21dtv.com/songs/60128193.mkv
陈琳-爱就爱了,http://em.21dtv.com/songs/60007649.mkv
凤凰传奇-華夏传说,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_40828850&response=res&format=mp4&type=convert_url
凤凰传奇-奢香夫人,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_51674527&response=res&format=mp4&type=convert_url
凤凰传奇-今生的缘,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_646024&response=res&format=mp4&type=convert_url
凤凰传奇-荷塘月色,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1565837&response=res&format=mp4&type=convert_url
凤凰传奇-自由飞翔,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_18747906&response=res&format=mp4&type=convert_url
凤凰传奇-策马奔腾,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_24042013&response=res&format=mp4&type=convert_url
凤凰传奇-温柔姑娘,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_6401404&response=res&format=mp4&type=convert_url
凤凰传奇-自由自在,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_24042025&response=res&format=mp4&type=convert_url
凤凰传奇-奇迹世界,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_954805&response=res&format=mp4&type=convert_url
凤凰传奇-歌唱二小放牛郎,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_8120530&response=res&format=mp4&type=convert_url
